Marshall County,-93.231972,41.862267,-92.765653,42.21014000000014
Benton County,-92.299329,41.861562,-91.831089,42.299063
Clay County,-95.388757,42.909676000000104,-94.913444,43.255613
Shelby County,-95.558143,41.50469,-95.040719,41.864207000000135
Clayton County,-91.608423,42.643973,-90.896951,43.081715
Jackson County,-90.898654,42.032709000000125,-90.154221,42.382308
Hamilton County,-93.971617,42.209143,-93.462635,42.558139
Taylor County,-94.928938,40.570706,-94.470779,40.900785
Muscatine County,-91.369332,41.333599000000106,-90.783664,41.598373
Wright County,-93.97177099999988,42.557314,-93.498594,42.908758
Clinton County,-90.898975,41.727691,-90.140061,42.033596
Iowa County,-92.300125,41.509786,-91.82706,41.863057
Buena Vista County,-95.388253,42.560309,-94.913828,42.910139
Woodbury County,-96.498997,42.211261,-95.669141,42.562096
Kossuth County,-94.443289,42.907762,-93.970201,43.500468000000126
Worth County,-93.497821,43.255024,-93.023908,43.499733
Washington County,-91.946939,41.161514000000125,-91.48386,41.51174300000014
Sac County,-95.388181,42.209692,-94.856642,42.561742
Humboldt County,-94.443166,42.644327,-93.971238,42.90833
Cherokee County,-95.860811,42.56058300000012,-95.387485,42.910311
Winnebago County,-93.97078,43.25502100000011,-93.497326,43.49988600000012
Lyon County,-96.603056,43.257264,-95.86041,43.50051500000012
Marion County,-93.328614,41.160659,-92.869771,41.508522
Keokuk County,-92.412096,41.16192000000012,-91.944641,41.510795
Johnson County,-91.834185,41.423178,-91.365897,41.862091
Monroe County,-93.099217,40.898222,-92.639091,41.161424000000125
O'Brien County,-95.862431,42.909097,-95.387745,43.258479
Dubuque County,-91.13443899999987,42.294634,-90.473798,42.675082
Van Buren County,-92.179782,40.59853,-91.716432,40.901362
Franklin County,-93.499594,42.556702,-93.025144,42.908512
Guthrie County,-94.744876,41.50357,-94.241356,41.863308
Jefferson County,-92.179992,40.89972,-91.715893,41.16380700000013
Dickinson County,-95.38809,43.255054,-94.913723,43.501196
Floyd County,-93.025149,42.90705900000012,-92.553989,43.21297600000014
Appanoose County,-93.097944,40.58401400000014,-92.637817,40.898886
